address,area,constraction_year,rooms,bedrooms,bathrooms,balcony,storage,parking,furnished,garage,garden,energy,facilities,zip,neighborhood,rent
1071 AC Amsterdam (P.C. Hooftbuurt),65.0,1879,2,1,1,no,no,no,yes,no,Not present,None,"Shower, Toilet",1071 AC,P.C. Hooftbuurt,1225
1071 AC Amsterdam (P.C. Hooftbuurt),70.0,1900,2,1,1,no,no,yes,yes,no,Not present,None,"Bath, Toilet",1071 AC,P.C. Hooftbuurt,2650
1071 AC Amsterdam (P.C. Hooftbuurt),75.0,1879,2,1,1,no,no,no,yes,no,Not present,F,None,1071 AC,P.C. Hooftbuurt,1750
1071 PG Amsterdam (Cornelis Schuytbuurt),196.0,1918,4,3,4,yes,no,yes,yes,no,Not present,A,"Air-conditioning, Roof terrace, Shower, Bath, Toilet",1071 PG,Cornelis Schuytbuurt,6995
1071 JZ Amsterdam (Cornelis Schuytbuurt),122.0,1905,3,2,1,yes,no,no,yes,no,Not present,C,"Shower, Bath, Toilet",1071 JZ,Cornelis Schuytbuurt,3750
1071 JZ Amsterdam (Cornelis Schuytbuurt),122.0,1905,3,2,1,yes,no,no,yes,no,Not present,C,"Shower, Bath, Toilet",1071 JZ,Cornelis Schuytbuurt,3500
1071 EB Amsterdam (Johannnes Vermeerbuurt),75.0,1910,3,2,1,yes,no,no,yes,no,Not present,None,"Shower, Toilet",1071 EB,Johannnes Vermeerbuurt,1675
1071 GB Amsterdam (Cornelis Schuytbuurt),68.0,1940,2,1,1,no,no,no,yes,no,Not present,None,"Roof terrace, Toilet",1071 GB,Cornelis Schuytbuurt,1750
1071 GB Amsterdam (Cornelis Schuytbuurt),68.0,1940,2,1,1,no,no,no,yes,no,Not present,None,"Roof terrace, Toilet",1071 GB,Cornelis Schuytbuurt,1750
1071 BG Amsterdam (Hondecoeterbuurt),160.0,1900,4,3,1,yes,yes,no,no,no,Not present,None,"Storage space, Roof terrace, Shower, Bath, Toilet",1071 BG,Hondecoeterbuurt,3800
1071 CG Amsterdam (Concertgebouwbuurt),70.0,1902,2,1,1,no,no,no,yes,no,Not present,None,Bath,1071 CG,Concertgebouwbuurt,1700
1071 WH Amsterdam (Hondecoeterbuurt),65.0,1910,2,1,1,yes,yes,no,yes,no,Not present,None,"Lift, Air-conditioning, Storage space, Shower, Bath, Toilet",1071 WH,Hondecoeterbuurt,1850
1071 CA Amsterdam (P.C. Hooftbuurt),60.0,1872,2,1,1,yes,no,no,yes,no,Not present,E,Toilet,1071 CA,P.C. Hooftbuurt,1925
1071 CA Amsterdam (P.C. Hooftbuurt),60.0,1872,2,1,1,yes,no,no,yes,no,Not present,E,Toilet,1071 CA,P.C. Hooftbuurt,1925
1071 ZK Amsterdam (Cornelis Schuytbuurt),112.0,1906,4,3,1,yes,no,no,yes,no,Not present,F,Bath,1071 ZK,Cornelis Schuytbuurt,3500
1071 JB Amsterdam (Cornelis Schuytbuurt),80.0,1900,3,2,1,yes,no,yes,yes,no,Not present,None,"Roof terrace, Shower, Toilet",1071 JB,Cornelis Schuytbuurt,2400
1071 HS Amsterdam (Cornelis Schuytbuurt),65.0,1894,2,1,1,yes,no,no,yes,no,Not present,E,"Shower, Bath, Toilet",1071 HS,Cornelis Schuytbuurt,2000
1071 VC Amsterdam (Duivelseiland),100.0,1906,3,2,1,yes,no,no,yes,no,Not present,None,None,1071 VC,Duivelseiland,2500
1071 VC Amsterdam (Duivelseiland),100.0,1906,3,2,1,yes,no,no,yes,no,Not present,None,None,1071 VC,Duivelseiland,2250
1071 AL Amsterdam (P.C. Hooftbuurt),90.0,1900,3,2,1,yes,yes,yes,yes,no,Not present,None,"Storage space, Shower, Bath, Toilet",1071 AL,P.C. Hooftbuurt,1975
1071 AL Amsterdam (P.C. Hooftbuurt),90.0,1900,3,2,1,yes,yes,yes,yes,no,Not present,None,"Storage space, Shower, Bath, Toilet",1071 AL,P.C. Hooftbuurt,1975
1071 KJ Amsterdam (Hondecoeterbuurt),211.0,1927,4,3,2,yes,no,yes,no,yes,Not present,G,"Lift, Bath, Toilet",1071 KJ,Hondecoeterbuurt,5500
1071 KJ Amsterdam (Hondecoeterbuurt),211.0,1927,4,3,2,yes,no,yes,no,yes,Not present,G,"Lift, Bath, Toilet",1071 KJ,Hondecoeterbuurt,5500
1071 LD Amsterdam (Concertgebouwbuurt),75.0,1906,2,1,1,yes,no,yes,yes,no,Not present,E,None,1071 LD,Concertgebouwbuurt,1950
1071 MJ Amsterdam (Cornelis Schuytbuurt),135.0,1905,5,4,1,yes,yes,yes,no,no,Present (29 m²),E,"Storage space, Shower, Toilet",1071 MJ,Cornelis Schuytbuurt,6500
1071 MJ Amsterdam (Cornelis Schuytbuurt),135.0,1905,5,4,1,yes,yes,yes,no,no,Present (29 m²),E,"Storage space, Shower, Toilet",1071 MJ,Cornelis Schuytbuurt,5500
1071 JD Amsterdam (Cornelis Schuytbuurt),150.0,1900,4,3,1,yes,no,yes,yes,no,Not present,None,"Air-conditioning, Fireplace, Roof terrace, Shower, Bath, Toilet",1071 JD,Cornelis Schuytbuurt,3250
1071 PJ Amsterdam (Cornelis Schuytbuurt),140.0,1900,3,2,2,yes,yes,yes,yes,no,Not present,None,"Lift, Storage space, Shower, Bath, Toilet",1071 PJ,Cornelis Schuytbuurt,2950
1071 PJ Amsterdam (Cornelis Schuytbuurt),140.0,1900,3,2,2,yes,yes,yes,yes,no,Not present,None,"Lift, Storage space, Shower, Bath, Toilet",1071 PJ,Cornelis Schuytbuurt,2500
1071 KX Amsterdam (Concertgebouwbuurt),120.0,1900,5,4,1,yes,no,no,no,no,Not present,D,Bath,1071 KX,Concertgebouwbuurt,2950
1071 KX Amsterdam (Concertgebouwbuurt),120.0,1900,5,4,1,yes,no,no,no,no,Not present,D,Bath,1071 KX,Concertgebouwbuurt,2950
1071 CH Amsterdam (Concertgebouwbuurt),75.0,1876,2,1,1,yes,no,yes,yes,no,Not present,None,"Bath, Toilet",1071 CH,Concertgebouwbuurt,1990
1071 CH Amsterdam (Concertgebouwbuurt),75.0,1876,2,1,1,yes,no,yes,yes,no,Not present,None,"Bath, Toilet",1071 CH,Concertgebouwbuurt,1850
1071 VB Amsterdam (Duivelseiland),77.0,1900,3,2,1,no,no,no,no,no,Not present,D,"Shower, Bath, Toilet",1071 VB,Duivelseiland,2150
1071 LX Amsterdam (Hondecoeterbuurt),63.0,1950,2,1,1,no,no,no,no,no,Not present,C,Roof terrace,1071 LX,Hondecoeterbuurt,1650
1071 JH Amsterdam (Cornelis Schuytbuurt),142.0,1896,3,2,2,yes,no,no,no,no,Not present,D,"Shower, Bath, Toilet",1071 JH,Cornelis Schuytbuurt,3750
1071 JH Amsterdam (Cornelis Schuytbuurt),142.0,1896,3,2,2,yes,no,no,no,no,Not present,D,"Shower, Bath, Toilet",1071 JH,Cornelis Schuytbuurt,3500
1071 MB Amsterdam (Cornelis Schuytbuurt),140.0,1900,5,4,1,yes,no,no,no,no,Not present,D,None,1071 MB,Cornelis Schuytbuurt,3500
1071 MB Amsterdam (Cornelis Schuytbuurt),140.0,1900,5,4,1,yes,no,no,no,no,Not present,D,None,1071 MB,Cornelis Schuytbuurt,3500
1071 ZT Amsterdam (Cornelis Schuytbuurt),160.0,1900,5,4,1,yes,no,no,no,no,Not present,None,"Shower, Bath, Toilet",1071 ZT,Cornelis Schuytbuurt,2650
1071 ZT Amsterdam (Cornelis Schuytbuurt),160.0,1900,5,4,1,yes,no,no,no,no,Not present,None,"Shower, Bath, Toilet",1071 ZT,Cornelis Schuytbuurt,2650
1071 AS Amsterdam (Johannnes Vermeerbuurt),80.0,1930,3,2,2,no,no,yes,yes,no,Not present,A+,"Shower, Bath, Toilet",1071 AS,Johannnes Vermeerbuurt,2250
1071 AS Amsterdam (Johannnes Vermeerbuurt),80.0,1930,3,2,2,no,no,yes,yes,no,Not present,A+,"Shower, Bath, Toilet",1071 AS,Johannnes Vermeerbuurt,2250
1071 EE Amsterdam (Johannnes Vermeerbuurt),100.0,1913,3,2,1,yes,no,no,no,no,Not present,F,"Shower, Toilet",1071 EE,Johannnes Vermeerbuurt,2250
1071 NM Amsterdam (Cornelis Schuytbuurt),65.0,1902,2,1,1,yes,no,yes,yes,no,Not present,None,"Bath, Toilet",1071 NM,Cornelis Schuytbuurt,2250
1071 TS Amsterdam (Duivelseiland),88.0,1899,3,2,1,yes,no,yes,yes,no,Not present,D,"Bath, Toilet",1071 TS,Duivelseiland,1690
1071 AE Amsterdam (P.C. Hooftbuurt),110.0,1905,2,1,1,no,no,no,no,no,Not present,None,"Shower, Toilet",1071 AE,P.C. Hooftbuurt,2500
1071 ZN Amsterdam (Cornelis Schuytbuurt),63.0,1900,3,2,1,yes,no,no,no,no,Not present,A,"Lift, Shower, Toilet",1071 ZN,Cornelis Schuytbuurt,2350
1071 NP Amsterdam (Cornelis Schuytbuurt),174.0,1900,5,4,2,no,yes,no,no,no,Not present,None,"Storage space, Shower, Bath, Toilet",1071 NP,Cornelis Schuytbuurt,5500
1071 GW Amsterdam (Cornelis Schuytbuurt),160.0,1900,4,3,2,yes,no,no,no,no,Not present,C,"Fireplace, Roof terrace, Shower, Bath, Toilet",1071 GW,Cornelis Schuytbuurt,4150
1071 VT Amsterdam (Duivelseiland),105.0,1899,4,3,2,yes,no,no,no,no,Not present,C,"Shower, Bath",1071 VT,Duivelseiland,2250
1071 MV Amsterdam (Cornelis Schuytbuurt),75.0,1902,3,2,1,no,no,yes,no,no,Not present,B,"Roof terrace, Shower, Bath, Toilet",1071 MV,Cornelis Schuytbuurt,1850
1071 MV Amsterdam (Cornelis Schuytbuurt),80.0,1902,3,2,1,no,no,yes,no,no,Not present,B,"Shower, Bath, Toilet",1071 MV,Cornelis Schuytbuurt,1875
1071 BR Amsterdam (P.C. Hooftbuurt),75.0,1870,2,1,1,yes,no,no,no,no,Not present,C,"Bath, Toilet",1071 BR,P.C. Hooftbuurt,1700
1071 KC Amsterdam (Concertgebouwbuurt),75.0,1900,3,2,1,no,no,yes,yes,no,Not present,None,"Roof terrace, Bath, Toilet",1071 KC,Concertgebouwbuurt,2300
1071 BS Amsterdam (P.C. Hooftbuurt),95.0,1877,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1071 BS,P.C. Hooftbuurt,2100
1071 HC Amsterdam (Cornelis Schuytbuurt),139.0,1895,3,2,1,no,yes,no,yes,no,Present (75 m²),None,"Storage space, Shower, Bath, Toilet",1071 HC,Cornelis Schuytbuurt,3000
1071 GJ Amsterdam (Concertgebouwbuurt),67.0,1897,3,2,1,yes,no,no,no,no,Not present,G,"Shower, Bath, Toilet",1071 GJ,Concertgebouwbuurt,2250
1071 XD Amsterdam (Johannnes Vermeerbuurt),75.0,1912,3,2,1,no,no,no,yes,no,Not present,None,"Bath, Toilet",1071 XD,Johannnes Vermeerbuurt,2000
1071 AB Amsterdam (P.C. Hooftbuurt),128.0,1880,3,2,1,yes,yes,no,no,no,Not present,None,"Storage space, Shower, Bath, Toilet",1071 AB,P.C. Hooftbuurt,2500
1071 ZZ Amsterdam (Cornelis Schuytbuurt),240.0,1906,5,4,2,yes,no,no,no,no,"Present (40 m², located on the north)",A,"Fireplace, Shower, Bath, Toilet",1071 ZZ,Cornelis Schuytbuurt,5500
1071 BA Amsterdam (Concertgebouwbuurt),170.0,1928,4,3,1,yes,no,no,no,no,Not present,None,Bath,1071 BA,Concertgebouwbuurt,2850
1071 ER Amsterdam (Concertgebouwbuurt),140.0,1900,4,3,1,yes,no,no,yes,no,Not present,None,None,1071 ER,Concertgebouwbuurt,3950
1071 GA Amsterdam (Cornelis Schuytbuurt),180.0,2010,3,2,2,yes,no,yes,yes,no,Not present,B,"Lift, Bath, Toilet",1071 GA,Cornelis Schuytbuurt,6750
1071 NG Amsterdam (Cornelis Schuytbuurt),65.0,1902,2,1,1,yes,no,no,yes,no,Not present,None,None,1071 NG,Cornelis Schuytbuurt,1700
1069 CL Amsterdam (Osdorp Midden Zuid),127.0,2008,5,4,1,no,no,yes,no,no,Not present,A,Roof terrace,1069 CL,Osdorp Midden Zuid,2000
1069 CL Amsterdam (Osdorp Midden Zuid),80.0,2008,3,2,1,yes,no,yes,yes,yes,Not present,A,"Lift, Roof terrace, Shower, Toilet",1069 CL,Osdorp Midden Zuid,1595
1069 CL Amsterdam (Osdorp Midden Zuid),127.0,2008,5,4,1,no,no,yes,no,no,Not present,A,Roof terrace,1069 CL,Osdorp Midden Zuid,2000
1069 RR Amsterdam (Zuidwestkwadrant Osdorp Zuid),100.0,2009,3,2,1,yes,no,yes,yes,no,Not present,D,"Lift, Toilet",1069 RR,Zuidwestkwadrant Osdorp Zuid,1650
1069 RR Amsterdam (Zuidwestkwadrant Osdorp Zuid),100.0,2009,3,2,1,yes,no,yes,yes,no,Not present,D,"Lift, Toilet",1069 RR,Zuidwestkwadrant Osdorp Zuid,1650
1069 KE Amsterdam (Zuidwestkwadrant Osdorp Zuid),96.0,2009,3,2,1,yes,no,yes,yes,yes,Not present,None,Toilet,1069 KE,Zuidwestkwadrant Osdorp Zuid,1750
1069 KE Amsterdam (Zuidwestkwadrant Osdorp Zuid),100.0,2009,4,3,1,yes,yes,yes,no,no,Not present,B,"Lift, Storage space, Toilet",1069 KE,Zuidwestkwadrant Osdorp Zuid,1875
1069 KE Amsterdam (Zuidwestkwadrant Osdorp Zuid),96.0,2009,3,2,1,yes,no,yes,yes,yes,Not present,None,Toilet,1069 KE,Zuidwestkwadrant Osdorp Zuid,1650
1069 LB Amsterdam (Zuidwestkwadrant Osdorp Zuid),93.0,1965,3,2,1,no,no,no,yes,no,Not present,E,Toilet,1069 LB,Zuidwestkwadrant Osdorp Zuid,1700
1069 LB Amsterdam (Zuidwestkwadrant Osdorp Zuid),93.0,1965,3,2,1,no,no,no,yes,no,Not present,E,"Shower, Toilet",1069 LB,Zuidwestkwadrant Osdorp Zuid,1600
1069 HV Amsterdam (Zuidwestkwadrant Osdorp Noord),104.0,2007,3,2,1,yes,no,yes,yes,no,Not present,A,Toilet,1069 HV,Zuidwestkwadrant Osdorp Noord,2000
1069 HV Amsterdam (Zuidwestkwadrant Osdorp Noord),104.0,2007,3,2,1,yes,no,yes,yes,no,Not present,A,Toilet,1069 HV,Zuidwestkwadrant Osdorp Noord,1950
1069 KA Amsterdam (Zuidwestkwadrant Osdorp Zuid),90.0,2006,3,2,1,no,yes,yes,yes,yes,Not present,None,Storage space,1069 KA,Zuidwestkwadrant Osdorp Zuid,1700
1069 KA Amsterdam (Zuidwestkwadrant Osdorp Zuid),90.0,2006,3,2,1,no,yes,yes,yes,yes,Not present,None,Storage space,1069 KA,Zuidwestkwadrant Osdorp Zuid,1700
1069 SC Amsterdam (Zuidwestkwadrant Osdorp Zuid),105.0,2014,4,3,1,yes,no,yes,yes,no,Not present,A,"Lift, Bath, Toilet",1069 SC,Zuidwestkwadrant Osdorp Zuid,1850
1069 SC Amsterdam (Zuidwestkwadrant Osdorp Zuid),105.0,2014,4,3,1,yes,no,yes,yes,no,Not present,A,"Lift, Bath, Toilet",1069 SC,Zuidwestkwadrant Osdorp Zuid,1850
1069 LK Amsterdam (Zuidwestkwadrant Osdorp Noord),90.0,2007,3,2,1,no,no,yes,yes,yes,Not present,None,"Shower, Toilet",1069 LK,Zuidwestkwadrant Osdorp Noord,2000
1069 LK Amsterdam (Zuidwestkwadrant Osdorp Noord),85.0,2007,2,1,1,yes,yes,no,yes,no,Not present,A,"Lift, Storage space, Shower, Toilet",1069 LK,Zuidwestkwadrant Osdorp Noord,1500
1069 LK Amsterdam (Zuidwestkwadrant Osdorp Noord),90.0,2007,3,2,1,no,no,yes,yes,yes,Not present,None,"Shower, Toilet",1069 LK,Zuidwestkwadrant Osdorp Noord,1800
1069 GA Amsterdam (Osdorp Midden Zuid),80.0,2006,3,2,1,no,no,yes,yes,yes,Not present,A,None,1069 GA,Osdorp Midden Zuid,1475
1069 GA Amsterdam (Osdorp Midden Zuid),92.0,2007,4,3,1,no,no,no,no,no,Not present,A,None,1069 GA,Osdorp Midden Zuid,1950
1069 GA Amsterdam (Osdorp Midden Zuid),80.0,2006,3,2,1,no,no,yes,yes,yes,Not present,A,None,1069 GA,Osdorp Midden Zuid,1475
1069 GA Amsterdam (Osdorp Midden Zuid),93.0,2006,3,2,1,yes,no,no,yes,no,Not present,A,"Lift, Toilet",1069 GA,Osdorp Midden Zuid,2150
1069 NC Amsterdam (Middelveldsche Akerpolder),68.0,1988,3,2,1,no,no,no,no,no,Not present,C,None,1069 NC,Middelveldsche Akerpolder,1600
1069 NC Amsterdam (Middelveldsche Akerpolder),68.0,1988,3,2,1,no,no,no,no,no,Not present,C,None,1069 NC,Middelveldsche Akerpolder,1600
1069 EH Amsterdam (De Punt),73.0,1968,3,2,1,no,no,yes,yes,no,Not present,E,None,1069 EH,De Punt,1850
1069 EH Amsterdam (De Punt),73.0,1968,3,2,1,no,no,yes,yes,no,Not present,E,None,1069 EH,De Punt,1850
1069 KD Amsterdam (Zuidwestkwadrant Osdorp Zuid),98.0,2009,4,3,1,yes,yes,yes,no,no,Not present,A,"Storage space, Bath, Toilet",1069 KD,Zuidwestkwadrant Osdorp Zuid,1850
1069 GZ Amsterdam (Zuidwestkwadrant Osdorp Noord),89.0,2001,3,2,1,no,yes,no,no,no,Not present,C,"Storage space, Shower, Toilet",1069 GZ,Zuidwestkwadrant Osdorp Noord,1500
1017 AG Amsterdam (Waterloopleinbuurt),110.0,1725,3,2,2,no,no,no,yes,no,Present (50 m²),None,"Bath, Toilet",1017 AG,Waterloopleinbuurt,2400
1017 AG Amsterdam (Waterloopleinbuurt),105.0,1005,3,2,1,no,no,no,yes,no,Not present,None,"Shower, Bath",1017 AG,Waterloopleinbuurt,2600
1017 JD Amsterdam (Amstelveldbuurt),110.0,1005,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1017 JD,Amstelveldbuurt,2800
1017 JD Amsterdam (Amstelveldbuurt),130.0,1005,3,2,1,no,no,no,yes,no,Not present,None,"Cable TV, Internet connection, Toilet",1017 JD,Amstelveldbuurt,2800
1017 EB Amsterdam (Amstelveldbuurt),66.0,1894,3,2,1,yes,no,no,no,no,Not present,D,"Air-conditioning, Shower, Bath, Toilet",1017 EB,Amstelveldbuurt,1900
1017 EB Amsterdam (Amstelveldbuurt),28.0,1894,2,1,1,yes,no,no,no,no,Not present,D,"Air-conditioning, Shower, Toilet",1017 EB,Amstelveldbuurt,1250
1017 SC Amsterdam (Den Texbuurt),70.0,1906,2,1,1,no,no,yes,no,no,Not present,B,Toilet,1017 SC,Den Texbuurt,2000
1017 SC Amsterdam (Den Texbuurt),70.0,1906,2,1,1,no,no,yes,no,no,Not present,B,Toilet,1017 SC,Den Texbuurt,2000
1017 LH Amsterdam (Utrechtsebuurt Zuid),60.0,1860,2,1,1,no,no,no,yes,no,Not present,None,"Shower, Toilet",1017 LH,Utrechtsebuurt Zuid,1950
1017 GC Amsterdam (Spiegelbuurt),64.0,1906,2,1,1,no,no,no,yes,no,Not present,G,Bath,1017 GC,Spiegelbuurt,1700
1017 GC Amsterdam (Spiegelbuurt),64.0,1906,2,1,1,yes,no,no,yes,no,Not present,G,"Shower, Bath",1017 GC,Spiegelbuurt,1500
1017 WV Amsterdam (Frederikspleinbuurt),80.0,1881,2,1,1,yes,no,no,yes,no,Not present,A,"Shower, Toilet",1017 WV,Frederikspleinbuurt,1800
1017 WV Amsterdam (Frederikspleinbuurt),85.0,1906,2,1,1,yes,no,no,yes,no,Not present,E,Fireplace,1017 WV,Frederikspleinbuurt,2200
1017 WV Amsterdam (Frederikspleinbuurt),80.0,1881,2,1,1,yes,no,no,yes,no,Not present,A,"Shower, Toilet",1017 WV,Frederikspleinbuurt,1800
1017 BN Amsterdam (Van Loonbuurt),85.0,1920,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1017 BN,Van Loonbuurt,1700
1017 BN Amsterdam (Van Loonbuurt),80.0,1005,3,2,1,no,no,no,yes,no,Not present,None,"Cable TV, Internet connection, Toilet",1017 BN,Van Loonbuurt,1875
1017 BN Amsterdam (Van Loonbuurt),85.0,1920,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1017 BN,Van Loonbuurt,1700
1017 JM Amsterdam (Utrechtsebuurt Zuid),80.0,1930,3,2,2,no,no,no,no,no,Not present,None,"Bath, Toilet",1017 JM,Utrechtsebuurt Zuid,1850
1017 JM Amsterdam (Utrechtsebuurt Zuid),72.0,1910,2,1,1,no,no,no,no,no,Not present,D,"Shower, Bath, Toilet",1017 JM,Utrechtsebuurt Zuid,2000
1017 VD Amsterdam (Weteringbuurt),30.0,1930,2,1,1,yes,no,yes,yes,no,Not present,E,None,1017 VD,Weteringbuurt,1425
1017 VD Amsterdam (Weteringbuurt),30.0,1930,2,1,1,yes,no,yes,yes,no,Not present,E,None,1017 VD,Weteringbuurt,1295
1017 RC Amsterdam (Leidsebuurt Noordwest),60.0,1945,3,2,1,no,no,no,yes,no,Not present,B,"Roof terrace, Bath, Toilet",1017 RC,Leidsebuurt Noordwest,1650
1017 RC Amsterdam (Leidsebuurt Noordwest),60.0,1945,3,2,1,no,no,no,yes,no,Not present,B,"Roof terrace, Bath, Toilet",1017 RC,Leidsebuurt Noordwest,1500
1017 KX Amsterdam (Weteringbuurt),120.0,1730,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1017 KX,Weteringbuurt,3000
1017 KX Amsterdam (Weteringbuurt),120.0,1730,3,2,1,no,no,yes,yes,no,Not present,None,Toilet,1017 KX,Weteringbuurt,3000
1017 KX Amsterdam (Weteringbuurt),120.0,1730,3,2,1,no,no,no,yes,no,Not present,None,Toilet,1017 KX,Weteringbuurt,2500
1017 KX Amsterdam (Weteringbuurt),100.0,1790,3,2,1,no,no,no,yes,no,Not present,B,Toilet,1017 KX,Weteringbuurt,2895
1017 KX Amsterdam (Weteringbuurt),120.0,1730,3,2,1,no,no,yes,yes,no,Not present,None,Toilet,1017 KX,Weteringbuurt,2500
1017 ZM Amsterdam (Frederikspleinbuurt),80.0,2001,3,2,1,no,no,no,no,no,Not present,None,None,1017 ZM,Frederikspleinbuurt,2400
1017 ZM Amsterdam (Frederikspleinbuurt),75.0,1999,2,1,1,yes,no,no,yes,no,Not present,B,"Cable TV, Internet connection, Bath, Toilet",1017 ZM,Frederikspleinbuurt,2100
1017 ED Amsterdam (Amstelveldbuurt),90.0,1750,2,1,2,no,yes,no,yes,no,Not present,None,"Lift, Storage space, Shower, Bath, Toilet",1017 ED,Amstelveldbuurt,2250
1017 ED Amsterdam (Amstelveldbuurt),90.0,1750,2,1,2,no,yes,no,yes,no,Not present,None,"Lift, Storage space, Shower, Bath, Toilet",1017 ED,Amstelveldbuurt,2250
1017 NP Amsterdam (Leidsebuurt Noordoost),65.0,1995,2,1,1,yes,no,no,yes,no,Not present,B,"Bath, Toilet",1017 NP,Leidsebuurt Noordoost,1600
1017 NP Amsterdam (Leidsebuurt Noordoost),65.0,1995,2,1,1,yes,no,no,yes,no,Not present,B,"Bath, Toilet",1017 NP,Leidsebuurt Noordoost,1600
1017 NH Amsterdam (Leidsebuurt Noordoost),40.0,1940,2,1,1,no,no,no,yes,no,Not present,None,None,1017 NH,Leidsebuurt Noordoost,1450
1017 NH Amsterdam (Leidsebuurt Noordoost),40.0,1940,2,1,1,no,no,no,yes,no,Not present,None,None,1017 NH,Leidsebuurt Noordoost,1450
1017 AD Amsterdam (Rembrandtpleinbuurt),71.0,1659,3,2,1,no,no,no,yes,no,Not present,None,"Shower, Toilet",1017 AD,Rembrandtpleinbuurt,2450
1017 AD Amsterdam (Rembrandtpleinbuurt),88.0,1648,3,2,1,no,no,yes,no,no,Not present,None,"Bath, Toilet",1017 AD,Rembrandtpleinbuurt,2450
1017 JL Amsterdam (Utrechtsebuurt Zuid),90.0,1835,3,2,1,no,no,no,no,no,Not present,None,None,1017 JL,Utrechtsebuurt Zuid,2650
1017 JL Amsterdam (Utrechtsebuurt Zuid),90.0,1835,3,2,2,no,no,yes,no,no,Not present,None,Bath,1017 JL,Utrechtsebuurt Zuid,2650
1017 JL Amsterdam (Utrechtsebuurt Zuid),90.0,1835,3,2,1,no,no,yes,no,no,Not present,None,None,1017 JL,Utrechtsebuurt Zuid,2650
1017 DM Amsterdam (Spiegelbuurt),50.0,1974,2,1,1,no,no,no,yes,no,Not present,None,"Lift, Shower, Toilet",1017 DM,Spiegelbuurt,1500
1017 DM Amsterdam (Spiegelbuurt),49.0,1904,2,1,1,no,no,yes,no,no,Not present,None,Toilet,1017 DM,Spiegelbuurt,1500
1017 DM Amsterdam (Spiegelbuurt),84.0,1974,2,1,1,no,no,yes,yes,yes,Not present,C,"Lift, Shower, Bath",1017 DM,Spiegelbuurt,2000
1017 DM Amsterdam (Spiegelbuurt),50.0,1974,2,1,1,no,no,no,yes,no,Not present,None,"Lift, Shower, Toilet",1017 DM,Spiegelbuurt,1500
1017 XR Amsterdam (Den Texbuurt),135.0,1890,3,2,2,yes,no,yes,yes,yes,Not present,B,Lift,1017 XR,Den Texbuurt,4000
1017 XR Amsterdam (Den Texbuurt),135.0,1890,3,2,2,yes,no,yes,yes,yes,Not present,B,Lift,1017 XR,Den Texbuurt,4000
1017 VE Amsterdam (Weteringbuurt),75.0,1736,3,2,1,yes,no,yes,yes,no,Not present,None,"Bath, Toilet",1017 VE,Weteringbuurt,1850
1017 DN Amsterdam (Spiegelbuurt),85.0,1671,3,2,1,yes,no,no,yes,no,Not present,E,"Lift, Bath, Toilet",1017 DN,Spiegelbuurt,2250
1017 DN Amsterdam (Spiegelbuurt),85.0,1671,3,2,1,yes,no,no,yes,no,Not present,E,"Lift, Bath, Toilet",1017 DN,Spiegelbuurt,2250
